"KeyYear-Gender","NOME","TOTAL"
"2017-M-0001","Santiago","1914"
"2017-M-0002","Francisco","1772"
"2017-M-0003","João","1708"
"2017-M-0004","Afonso","1479"
"2017-M-0005","Rodrigo","1420"
"2017-M-0006","Martim","1334"
"2017-M-0007","Tomás","1257"
"2017-M-0008","Duarte","1220"
"2017-M-0009","Miguel","1201"
"2017-M-0010","Gabriel","1182"
"2017-M-0011","Lourenço","1115"
"2017-M-0012","Gonçalo","1070"
"2017-M-0013","Dinis","1034"
"2017-M-0014","Guilherme","1008"
"2017-M-0015","Pedro","996"
"2017-M-0016","Salvador","907"
"2017-M-0017","Rafael","899"
"2017-M-0018","Lucas","893"
"2017-M-0019","Tiago","855"
"2017-M-0020","Gustavo","795"
"2017-M-0021","Diogo","767"
"2017-M-0022","Vicente","718"
"2017-M-0023","José","703"
"2017-M-0024","David","626"
"2017-M-0025","Mateus","618"
"2017-M-0026","Simão","596"
"2017-M-0027","António","532"
"2017-M-0028","Diego","532"
"2017-M-0029","Manuel","529"
"2017-M-0030","Henrique","509"
"2017-M-0031","Daniel","472"
"2017-M-0032","Vasco","456"
"2017-M-0033","Bernardo","446"
"2017-M-0034","Enzo","413"
"2017-M-0035","André","399"
"2017-M-0036","Leonardo","397"
"2017-M-0037","Luís","317"
"2017-M-0038","Isaac","316"
"2017-M-0039","Eduardo","288"
"2017-M-0040","Alexandre","260"
"2017-M-0041","Kevin","234"
"2017-M-0042","Matias","232"
"2017-M-0043","Leandro","209"
"2017-M-0044","Filipe","203"
"2017-M-0045","Xavier","184"
"2017-M-0046","Rúben","183"
"2017-M-0047","Samuel","173"
"2017-M-0048","Ricardo","168"
"2017-M-0049","Artur","165"